"author" "date" "body"
"76" "Pohjantuuli" 2013-05-23 " bluedylan  heh actually i put the traditional values as a bit of a joke as ive never been able to understand why very graphic violence is perfectly ok to depict whereas a bit of nudity or sex has the ratings board up in knots i do think it has a lot to do with hangups from religions considering that grr martin created this massive imaginary world with such detail i wonder why he would have borrowed such detail as the monastic celibacy for the kings guard "
"77" "KlaasJan" 2013-05-23 " cosmonaut  cant he just go back and get it later head back the next day when its light out and the crowsravens are gone this is tongue in cheek btw "
"78" "IanShuttleworth" 2013-05-23 " idil  in the 1955 british movie joe macbeth which relocates the shakespearean scottish plays events to chicago gangland sid james as banky duncans speech this castle hath a pleasant seat blah blah templehaunting martlet is boiled down to ducas single line i like dis place  lotta boids "
"79" "DeleteThisPost" 2013-05-23 " sybarite2006 21 may 2013 800pm actually this series is so good it has got me thinking why the bbc or the beeb together with some eu nations cannot make an adaptation like this you can be fair to the bbc just by putting things in perspective no one makes shows the way hbo does not in europe not in the states not anywhere "
"80" "DavidLePage" 2013-05-23 " cosmonaut  daenerys nudity was far more about power than about sensuality in that scene though it was sensual as well the scene showed her command of herself even when most vulnerable if shed cowered or shrunk away trying to cover herself she would immediately have looked weak she stepped unclothed out of the bath as an act of confidence in power far more than as a act of sensuality "
"81" "DavidLePage" 2013-05-23 " beadster  she mentioned her age as being 14 when asked by tyrion in the series so not just in the books "
"82" "sybarite2006" 2013-05-23 " wolf hall adaptationnot read it yet but sounds promising  its the kind of stuff the bbc does well after some thought i think adapting philip pullmans his dark materials trilogy would also be a worthy future project for them especially since the poor movie adaptations were hijacked by rightwing christian fundos in the usa and the remaining books will therefore never get made "
"83" "DeleteThisPost" 2013-05-23 " sailthedarkenedseas 21 may 2013 1149pm i think compared to the effort required to kill someone with a wraithbaby leeches will not be enough to kill such important players i think its all about timing wraithbabies get on with their work while exploding leeches have a tendency to screw about for a while "
"84" "ACertainBang" 2013-05-23 " 5432hun  thanks hun damnfool "
"85" "ntofr1" 2013-05-22 " sunnyone  bring it on "
"86" "ntofr1" 2013-05-22 " greenseer  shot looking vertically down onto the bed when melisandre was tugging his pants off whilst not a full on theon circa season 1 there was some shaft i feel dirty "
"87" "TheNorthRemembers" 2013-05-22 " wolf hall is due to be filmed in a years time "
"88" "anonnyscouse" 2013-05-22 " moretears  they advertise it as a free channel they do the same with sky f1 it may change in the future but if theyre offering 24 month contracts with the advertisement id think there would be legal problems with moving channels from basic packages midcontract as for subscribers wikipedia isnt very reliable and it could include broadband only subscriptions "
"89" "sunnyone" 2013-05-22 " greenseer  group hug time "
"90" "Pygar" 2013-05-22 " greenseer  where where  let me explain "
"91" "sunnyone" 2013-05-22 " greenseer  mark rylance wouldnt have been an obvious choice for me but hes such a superb actor if anyone can carry it off he can "
"92" "MoreTears" 2013-05-22 " anonnyscouse  wikipedias entry on sky says that 10 million uk homes subscribe to sky "
"93" "MoreTears" 2013-05-22 " anonnyscouse  okay i based my comment on the fact that when sky atlantic started i saw sky subscribers online complaining that while sky atlantic would initially be no extra charge to all sky subscribers after a certain number of months they would have to have a better than basic package to continue getting sky atlantic and they didnt want to pay extra for the upgrade "
"94" "anonnyscouse" 2013-05-22 " anonnyscouse  having said that id be surprised if there was 10m sky subscribers there may be 10m cable subscribers but that would include virgin media bt vision  talk talk tv package subscribers none of which carry sky atlantic which is a sky exclusive channel "
"95" "anonnyscouse" 2013-05-22 " moretears  all sky subscriptions come with sky atlantic its on the basic package like sky one all other packages build on the basic "
"96" "MoreTears" 2013-05-22 " greenseer  there are over 25 million homes in the uk and sky has 10 million subscribers so sky viewers are a minority then there is the fact that game of thrones is on sky atlantic which not all sky subscribers have as part of their subscription package "
"97" "damnfool" 2013-05-22 " damnfool  shit on a stick i said unaccurate the shame "
"98" "eleanroe" 2013-05-22 " silgen  fantastic "
"99" "eleanroe" 2013-05-22 " mroneill redcat21 im with you on this too im sure the actors doing what hes being told to do but he comes across like a massive wet loras is meant to be on a level with jamiesomeone that hard just would not be tripping over his bottom lip all the time a shame especially as renly down and all credit to them he was perfect loras is the only gay in the castle "
"100" "eleanroe" 2013-05-22 " dryhtscipe  haha totally after weeks of hankering after a clean jamie as soon as someone clean and well endowed with cheekbones guys come on we get all suspicious "
"101" "sunnyone" 2013-05-22 " westmike  i am soooo looking forward to wolf hall "
"102" "Greenseer" 2013-05-22 " westmike  oh  mikes beat me to it "
"103" "Greenseer" 2013-05-22 " sunnyone  another one here who would love to see an adaptation of the sunne in splendour on a side note the beeb are going to be adapting wolf hall and bring up the bodies mark rylance has already been cast as thomas cromwell im really looking forward to that one "
"104" "Greenseer" 2013-05-22 " sybarite2006  do you honestly think the sky viewers are still a minority i would have thought theyre approaching half now  but i certainly stand to be corrected "
"105" "Greenseer" 2013-05-22 " ntofr1  where where jesus  did i miss that "
"106" "Greenseer" 2013-05-22 " clariana  well i want to complain about clariana every week i find umpteen posts that i want to say keep watching to but clariana always gets in before me but we love her really x "
"107" "Greenseer" 2013-05-22 " scandibaby  could have a point there i never thought of it that way "
"108" "Greenseer" 2013-05-22 " zoggers  oh trust me zoggers  i know i was trying not to use that awful phrase in the books thats sets peoples alarm bells off  "
"109" "sunnyone" 2013-05-22 " johndear  the braavosi belief that there is only one god death that statement is not sitting well with my memory are you sure "
"110" "Idil" 2013-05-22 " greenseer  i loved the original series i do not want to have a new version which will probably disappoint me as in the case of upstairs downstairs "
"111" "Idil" 2013-05-22 " scandibaby  john hurt most probably will play in the christmas episode of doctor who he will not be totally involved with the 8th season he is only the mysterious nth doctor "
"112" "Idil" 2013-05-22 " cosmonaut  from now on no one will see it i guess including theon "
"113" "westmike" 2013-05-22 " yep given the content not sure the beeb could get away with chucking 40million a year at series like got without widespread criticism as others have pointed out that is approximately the annual budget of bbc4 and probably a couple of radio stations having said that they are adapting wolf hall which whilst obviously not a fantasy is an historical rife with betrayal and courtly intrigue and undoubtedly will have an absolutely sensational cast anyway the next 2 episodes could change everything again "
